Student_ID,CGPA,Interests,Skills,Courses_Completed,Projects_Count,Role
bddfa350-14e3-4df4-acc7-b53c56b17991,8.66,Artificial Intelligence,"Scikit-learn,PyTorch,NoSQL,Angular",17,2,AI/ML Engineer
2318ad95-567f-4a1e-970b-b74c07352472,8.82,Artificial Intelligence,"PyTorch,Scikit-learn,Python,NumPy,C++",7,4,AI/ML Engineer
c6949319-e7a2-4803-98c9-7a026f8cd5e6,9.62,Artificial Intelligence,"Python,Mathematics,PyTorch,Scikit-learn,Angular,C++,Java",14,1,AI/ML Engineer
9777b848-eaeb-4fc6-aaf3-26ef842c3b07,7.02,Machine Learning,"Excel,Tableau,Pandas,SQL,Azure,C++,PyTorch",20,3,Data Analyst
d0b244aa-bd1f-4dfa-afce-946209ed3f4a,8.15,Database Management,"Pandas,Tableau,Python,Angular",19,5,Data Analyst
e0bb460d-50be-44d3-b425-78537be48a25,8.98,Data Science,"Scikit-learn,Python,Pandas,NumPy,TensorFlow,React",18,4,Data Scientist
5eb02aa4-f712-464f-9fc0-e5708619101a,6.36,Machine Learning,"Excel,Pandas,Python,SQL,PowerBI,PyTorch",6,3,Data Analyst
f36be864-328e-447d-9744-8ecdf91d55b4,6.22,Database Management,"NumPy,Tableau,AWS",14,1,Data Scientist
14ef0f53-85fc-4903-a586-cf26512ad956,8.66,Web Development,"Git,Node.js,HTML/CSS,PowerBI,Angular",19,3,Web Developer
0721d149-bc67-4c14-9b64-d1e4cda13262,8.52,Web Development,"JavaScript,Git,PyTorch",17,3,Web Developer
88454562-b38e-4e0b-bd2e-4d0e4a07c9cd,5.86,DevOps,"SQL,C++,Pandas",6,4,Software Engineer
baa5c16b-7b38-4018-908c-6fe4b9e4a8f9,7.84,Artificial Intelligence,"PyTorch,TensorFlow,Docker",18,3,AI/ML Engineer
09ef487e-539e-4e99-a9dd-3bda7bdaf30a,6.92,Data Science,"Python,TensorFlow,SQL,Pandas,Scikit-learn,JavaScript,PowerBI",10,4,Data Scientist
9314719c-8311-491e-8c98-50f7d3f7c9d8,8.14,DevOps,"AWS,Docker,JavaScript",19,2,Cloud Engineer
c95b0b5d-c6d0-4a3b-9a67-e33957ab2a77,6.17,Web Development,"React,Angular,JavaScript,Git,PowerBI,Docker,Python",16,3,Web Developer
7f0a853f-2093-4468-904e-8af1e87cabf7,6.77,Web Development,"Node.js,Angular,Pandas,Git",14,5,Web Developer
04c4f0ec-602c-4cd4-a428-9b052db17da3,8.21,Database Management,"Python,Tableau,React,PowerBI",16,1,Data Analyst
bf83500a-e960-41e8-a1f3-78c87597d34d,7.39,Web Development,"Angular,Node.js,JavaScript,SQL",18,1,Web Developer
